time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	-9.25596e+61	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714003	0.587993	7.09127	1.49909e-17	1.64966e-17	radar	73.9424	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.11261	0.535721	7.09306	-0.0455803	-0.00548296	lidar	0.128941	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.10524	0.430526	7.09235	-0.00845813	0.00448858	radar	0.898137	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.47082	0.468841	7.10177	0.0766899	0.0256905	lidar	0.531645	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.62772	0.51984	6.90347	0.160765	0.0267693	radar	0.557523	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.00232	0.588126	6.91528	0.168914	0.0292199	lidar	0.311375	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.17607	0.59973	5.59064	0.146492	-0.0451621	radar	8.64292	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.47487	0.64556	5.5993	0.143842	-0.0534745	lidar	0.249886	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.76952	0.63564	5.47467	0.0705048	-0.322774	radar	1.02099	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.03706	0.650886	5.47364	0.0536004	-0.325072	lidar	0.00596254	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.3518	0.530036	5.49652	-0.14701	-0.959168	radar	2.05273	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.63998	0.47093	5.51487	-0.21588	-1.0259	lidar	0.64573	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.94561	0.570675	5.51517	-0.0783216	-0.478538	radar	2.62928	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.22436	0.548206	5.51824	-0.100673	-0.474637	lidar	0.0584814	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.49165	0.594596	5.39884	-0.0583787	-0.324445	radar	1.1508	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73156	0.609338	5.35871	-0.0417693	-0.252095	lidar	1.6569	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.99204	0.615352	5.20873	-0.0452848	-0.236788	radar	1.8384	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26635	0.60517	5.22035	-0.0561641	-0.234999	lidar	0.465254	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.51145	0.629454	5.29466	-0.0322233	-0.168654	radar	1.75285	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.78808	0.627848	5.30356	-0.036018	-0.160783	lidar	0.433661	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.02615	0.516123	5.20307	-0.112082	-0.271898	radar	2.02524	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.28425	0.537597	5.19041	-0.0927565	-0.221308	lidar	1.29404	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.53665	0.628502	5.12784	-0.0349186	-0.121101	radar	1.76154	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.79087	0.629759	5.12423	-0.0345074	-0.111979	lidar	0.05417	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.04083	0.616986	4.98789	-0.0445954	-0.119833	radar	1.97665	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27965	0.647521	4.97095	-0.0273782	-0.0892498	lidar	0.871102	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60118	0.684367	5.19164	-0.007922	-0.0564392	radar	5.16383	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85703	0.686672	5.18816	-0.00820616	-0.0532596	lidar	0.0268793	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.11109	0.733559	5.05101	0.0117168	-0.0272252	radar	2.59084	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.35667	0.750046	5.04349	0.0171715	-0.0189961	lidar	0.145917	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.62318	0.930928	5.21609	0.100769	0.0826699	radar	7.34807	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.87465	0.970407	5.20829	0.111067	0.0899609	lidar	0.16369	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.19061	1.02135	5.2693	0.123365	0.0983246	radar	5.90205	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.44191	1.05523	5.26007	0.129049	0.0993232	lidar	0.242715	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.73066	1.17923	5.30908	0.171948	0.142156	radar	3.31946	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.99176	1.25607	5.31238	0.19223	0.157108	lidar	0.300786	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.2375	1.39746	5.16293	0.241281	0.206112	radar	4.04698	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4757	1.46301	5.15203	0.253367	0.208334	lidar	0.359051	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.7011	1.56933	4.97518	0.286115	0.237681	radar	2.73912	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.9312	1.61564	4.96166	0.288104	0.226859	lidar	0.48081	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.2113	1.63108	5.05784	0.271323	0.193074	radar	1.68462	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4616	1.68479	5.06091	0.274217	0.185488	lidar	0.151202	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6822	1.7181	4.99132	0.271272	0.173184	radar	0.97731	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.9152	1.78202	4.98386	0.278841	0.172073	lidar	0.139471	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1698	1.9044	5.12294	0.305215	0.188933	radar	1.42084	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.4123	1.95153	5.1115	0.302257	0.175395	lidar	0.276707	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6685	1.98608	5.19328	0.290442	0.150328	radar	1.11977	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8977	2.0874	5.18501	0.310041	0.163622	lidar	0.72537	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1635	2.24652	5.33372	0.345188	0.189609	radar	2.19714	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3952	2.35772	5.32415	0.364241	0.20012	lidar	0.690706	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
